CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l)
NED2003003_29;MFD_SETNO29;44.7795;57.29;245498;25;11-mar-03;07:01:43;34.904;4.437;3.7851;0.0268432809917355;34.895;5.904
NED2003003_29;MFD_SETNO29;44.7795;57.29;245499;5;11-mar-03;07:01:43;32.127;-1.532;4.7376;0.912894380165289;NaN;NaN
NED2003003_3;MFD_SETNO3;44.354667;61.387;258868;191;06-mar-03;09:58:25;32.117;-1.558;4.6947;0.975304049586777;NaN;NaN
NED2003003_3;MFD_SETNO3;44.354667;61.387;258869;50;06-mar-03;09:58:25;32.114;-1.574;4.5038;0.863945619834711;32.106;8.341
NED2003003_3;MFD_SETNO3;44.354667;61.387;258870;25;06-mar-03;09:58:25;34.393;8.921;3.0015;0.0347243966942149;34.389;3.944
NED2003003_3;MFD_SETNO3;44.354667;61.387;258871;5;06-mar-03;09:58:25;32.275;1.841;4.584;1.18335089256198;NaN;NaN
NED2003003_30;MFD_SETNO30;44.5325;57.0255;245500;367;11-mar-03;10:40:57;32.168;1.46;4.6159;1.19404382231405;NaN;NaN
NED2003003_30;MFD_SETNO30;44.5325;57.0255;256801;50;11-mar-03;10:40:57;32.109;1.033;4.4688;1.23325123140496;NaN;8.1985
NED2003003_30;MFD_SETNO30;44.5325;57.0255;256802;25;11-mar-03;10:40:57;34.843;5.014;3.4459;0.0088180826446281;34.843;5.331
NED2003003_30;MFD_SETNO30;44.5325;57.0255;256803;5;11-mar-03;10:40:57;32.56;-0.913;4.7577;0.575147933884298;NaN;NaN
NED2003003_31;MFD_SETNO31;44.6555;57.262833;256804;235;11-mar-03;16:02:57;32.399;-1.213;4.7001;0.769719256198347;NaN;NaN
NED2003003_31;MFD_SETNO31;44.6555;57.262833;256805;50;11-mar-03;16:02:57;32.398;-1.25;4.6295;0.821115454545455;NaN;8.266
NED2003003_31;MFD_SETNO31;44.6555;57.262833;256806;25;11-mar-03;16:02:57;34.699;7.139;3.2243;0.0239903719008264;34.69;4.5155
NED2003003_31;MFD_SETNO31;44.6555;57.262833;256807;2;11-mar-03;16:02:57;32.508;-1.058;4.687;0.885972561983471;NaN;NaN
NED2003003_34;MFD_SETNO34;44.363667;57.5565;256808;147;11-mar-03;23:13:19;32.29;-1.339;4.6452;0.93492132231405;NaN;NaN
NED2003003_34;MFD_SETNO34;44.363667;57.5565;256809;50;11-mar-03;23:13:19;32.224;-1.448;4.4189;0.852932148760331;32.187;8.523
NED2003003_34;MFD_SETNO34;44.363667;57.5565;256810;25;11-mar-03;23:13:19;32.737;0.171;4.6374;0.255472347107438;32.733;7.625
NED2003003_34;MFD_SETNO34;44.363667;57.5565;256811;5;11-mar-03;23:13:19;32.396;-1.151;4.7855;1.20117244214876;NaN;NaN
NED2003003_36;MFD_SETNO36;44.374167;57.710333;256812;109;12-mar-03;01:46:54;32.294;-1.227;4.7566;1.30453742975207;NaN;NaN
NED2003003_36;MFD_SETNO36;44.374167;57.710333;256813;50;12-mar-03;01:46:54;32.27;-1.287;4.6379;1.23681554132231;32.277;8.463
NED2003003_36;MFD_SETNO36;44.374167;57.710333;256814;25;12-mar-03;01:46:54;32.646;-0.082;4.5236;0.294916280991736;32.649;7.6685
NED2003003_36;MFD_SETNO37;44.251667;58.220833;256815;91;12-mar-03;05:14:29;32.295;-1.193;4.6883;1.25577588016529;NaN;NaN
NED2003003_37;MFD_SETNO37;44.251667;58.220833;256816;50;12-mar-03;05:14:29;32.294;-1.194;4.6469;1.20830106198347;NaN;NaN
NED2003003_37;MFD_SETNO37;44.251667;58.220833;256817;25;12-mar-03;05:14:29;4.5763;8.2725;1.26533002066116;1.26533002066116;8.2725;4.6921
NED2003003_37;MFD_SETNO37;44.251667;58.220833;256818;5;12-mar-03;05:14:29;32.504;-1.199;32.505;32.294;-0.54;32.504
NED2003003_38;MFD_SETNO38;44.176667;58.243333;256819;170;12-mar-03;06:50:53;32.384;-0.848;4.6883;1.22612261157025;NaN;NaN
NED2003003_38;MFD_SETNO38;44.176667;58.243333;256820;50;12-mar-03;06:50:53;32.369;-0.934;4.6446;1.21899399173554;NaN;NaN
NED2003003_38;MFD_SETNO38;44.176667;58.243333;256821;25;12-mar-03;06:50:53;32.36;-0.956;4.5437;1.94611321487603;32.356;8.542
NED2003003_38;MFD_SETNO38;44.176667;58.243333;256822;5;12-mar-03;06:50:53;34.018;5.129;4.227;0.0777207685950413;34.045;5.5805
NED2003003_39;MFD_SETNO39;44.221;58.4475;256823;200;12-mar-03;09:07:17;32.415;-0.918;4.8645;1.02547652892562;NaN;NaN
NED2003003_39;MFD_SETNO39;44.221;58.4475;256824;50;12-mar-03;09:07:17;32.341;-1.051;4.8465;1.60037515289256;NaN;NaN
NED2003003_39;MFD_SETNO39;44.221;58.4475;256825;25;12-mar-03;09:07:17;32.341;-1.052;4.6971;1.53978188429752;32.342;8.5065
NED2003003_39;MFD_SETNO39;44.221;58.4475;256826;5;12-mar-03;09:07:17;34.527;6.451;3.6026;0.0440904132231405;34.517;4.8175
NED2003003_4;MFD_SETNO4;44.456;61.1895;258872;105;06-mar-03;12:45:27;32.544;-0.643;4.7619;1.05484578512397;NaN;NaN
