CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(ml/l)
NED2013022_120;MFD_SETNO120;43.2083;-61.7377;384223;50;17-jul-13;10:38:09;32.823;4.2292;5.59157;0.238313407563025;3.505;0.678;4.135;NaN;0.25;NaN;NaN
NED2013022_120;MFD_SETNO120;43.2083;-61.7377;384224;25;17-jul-13;10:38:09;32.1794;8.4943;6.22101;0.680428399159664;0.81;0.329;0;NaN;0;NaN;NaN
NED2013022_120;MFD_SETNO120;43.2083;-61.7377;384225;5;17-jul-13;10:38:09;31.3609;17.9812;4.80821;0.210602546218487;0;0.205;0;NaN;0;5.831;NaN
NED2013022_121;MFD_SETNO121;42.9675;-62.0082;384226;272;17-jul-13;14:29:26;35.0703;7.6196;3.21582;0.0203499768907563;13.89;1.428;23.07;35.0854873657227;0.05;3.832;NaN
NED2013022_121;MFD_SETNO121;42.9675;-62.0082;384227;50;17-jul-13;14:29:26;33.1732;7.596;5.4638;0.360241197478992;3.175;0.556;3.705;NaN;0.215;NaN;NaN
NED2013022_121;MFD_SETNO121;42.9675;-62.0082;384228;25;17-jul-13;14:29:26;32.2725;13.9291;5.73735;0.548675054621849;0.89;0.206;0;NaN;0.05;NaN;NaN
NED2013022_121;MFD_SETNO121;42.9675;-62.0082;384229;5;17-jul-13;14:29:26;31.6357;18.7321;4.72047;0.254939924369748;0.31;0.191;0;NaN;0;5.665;NaN
NED2013022_123;MFD_SETNO123;43.0827;-61.5058;384230;403;17-jul-13;18:57:18;34.9384;5.8635;4.00255;0.011099987394958;12.965;1.322;19.885;34.9506072998047;0.055;4.78;NaN
NED2013022_123;MFD_SETNO123;43.0827;-61.5058;384231;50;17-jul-13;18:57:18;32.9061;4.6319;5.42548;0.20506037394958;4.275;0.7345;3.8;NaN;0.22;NaN;NaN
NED2013022_123;MFD_SETNO123;43.0827;-61.5058;384232;25;17-jul-13;18:57:18;32.1856;8.329;6.23687;0.769958451680672;0.925;0.296;0;NaN;0;NaN;NaN
NED2013022_123;MFD_SETNO123;43.0827;-61.5058;384233;5;17-jul-13;18:57:18;31.466;17.0317;5.00008;0.387952058823529;0;0.2;0;NaN;0;6.446;NaN
NED2013022_124;MFD_SETNO124;43.2158;-60.9808;384234;433;18-jul-13;02:43:34;34.9695;5.7347;4.09383;0.022199974789916;12.635;1.259;19.85;34.9824104309082;0;4.951;NaN
NED2013022_124;MFD_SETNO124;43.2158;-60.9808;384235;50;18-jul-13;02:43:34;33.2053;5.3806;5.54316;0.0795499096638656;4.44;0.728;6.675;NaN;0.18;NaN;NaN
NED2013022_124;MFD_SETNO124;43.2158;-60.9808;384236;25;18-jul-13;02:43:34;32.5879;9.9922;5.99432;0.931112546218488;1.19;0.2825;0;NaN;0.055;NaN;NaN
NED2013022_124;MFD_SETNO124;43.2158;-60.9808;384237;5;18-jul-13;02:43:34;31.5744;17.3825;5.00202;0.221686890756303;0.095;0.1765;0;NaN;0.035;5.96;NaN
NED2013022_125;MFD_SETNO125;43.3147;-61.2123;384238;103;18-jul-13;05:29:16;34.7267;9.7457;4.1966;0.0443999495798319;6.465;0.7995;10.815;34.6631889343262;0.105;5.092;NaN
NED2013022_125;MFD_SETNO125;43.3147;-61.2123;384239;50;18-jul-13;05:29:16;33.1833;4.6117;5.34607;0.0702999201680672;5.615;0.785;7.21;NaN;0.26;NaN;NaN
NED2013022_125;MFD_SETNO125;43.3147;-61.2123;384240;25;18-jul-13;05:29:16;33.1723;9.5628;5.75407;1.30713876680672;2.18;0.4245;0.88;NaN;0.1;NaN;NaN
NED2013022_125;MFD_SETNO125;43.3147;-61.2123;384241;5;18-jul-13;05:29:16;31.5456;18.2251;4.8245;0.38795205882353;0.22;0.2105;0;NaN;0.03;6.085;NaN
NED2013022_126;MFD_SETNO126;43.4645;-61.3637;384242;78;18-jul-13;07:22:24;32.8167;4.3543;5.50754;0.0942169285714286;5.415;0.739;4.3;32.8168106079102;0.235;6.4995;NaN
NED2013022_126;MFD_SETNO126;43.4645;-61.3637;384243;51;18-jul-13;07:22:24;32.6621;4.2449;5.73072;0.343614680672269;3.225;0.653;3.125;NaN;0.225;NaN;NaN
NED2013022_126;MFD_SETNO126;43.4645;-61.3637;384244;25;18-jul-13;07:22:24;32.1074;7.8669;6.11289;1.87930709243697;1.54;0.4225;0.195;NaN;0.07;NaN;NaN
NED2013022_126;MFD_SETNO126;43.4645;-61.3637;384245;5;18-jul-13;07:22:24;31.3061;17.5373;4.91356;0.387952058823529;0.285;0.233;0;NaN;0.045;6.237;NaN
NED2013022_127;MFD_SETNO127;43.6975;-60.9983;384246;46;18-jul-13;10:00:22;32.1685;6.1826;5.57553;0.895300525210084;2.56;0.5445;0.95;32.1705169677734;0.1;6.5535;NaN
NED2013022_127;MFD_SETNO127;43.6975;-60.9983;384247;25;18-jul-13;10:00:22;31.9121;8.4906;5.68127;1.39666881932773;1.22;0.4315;0.115;NaN;0.06;NaN;NaN
